Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
pér,Andernos-les-Bains,per,Bazas-bis,{},{},"{('é', 'e'): 1}",per,Auros-bis,{},{},"{('é', 'e'): 1}",pēr,Audenge-bis,{},{},"{('é', 'ē'): 1}"
pre,Arès,pér,Savignac,{'é': 1},{'e': 1},{},pér,Ailas,{'é': 1},{'e': 1},{},père,Coimères,{'è': 1},{},{}
pēr,Audenge-bis,pér,Andernos-les-Bains,{},{},"{('ē', 'é'): 1}",pér,Le Porge,{},{},"{('ē', 'é'): 1}",peur,Saint-Étienne-de-Lisse,{'e': 1},{},"{('ē', 'u'): 1}"
pér,Audenge,per,Lignan-de-Bazas,{},{},"{('é', 'e'): 1}",peur,Belin-Béliet,{'e': 1},{},"{('é', 'u'): 1}",,,,,
per,Biganos,per,Blanquefort-bis,{},{},{},,,,,,,,,,
peur,Lacanau-de-Mios,per,Eysines,{},{'u': 1},{},per,Carbon-Blanc-bis,{},{'u': 1},{},,,,,
peur,Lanton,per,Macau,{},{'u': 1},{},per,Castelnau-de-Médoc,{},{'u': 1},{},per,Saint-Loubès,{},{'u': 1},{}
pér,Lège,per,Pompogne,{},{},"{('é', 'e'): 1}",pré,Saint-Sulpice-et-Cameyrac,{'r': 1},{'r': 1},{},,,,,
peur,Mios,pér,Ailas,{},{'u': 1},"{('e', 'é'): 1}",pér,Saint-Maixant,{},{'u': 1},"{('e', 'é'): 1}",,,,,
pér,Ailas,pre,Arès,{},{},"{('é', 'r'): 1, ('r', 'e'): 1}",peur,Mios,{'e': 1},{},"{('é', 'u'): 1}",per,Auros-bis,{},{},"{('é', 'e'): 1}"
per,Auros-bis,pér,Andernos-les-Bains,{},{},"{('e', 'é'): 1}",pér,Ailas,{},{},"{('e', 'é'): 1}",pér,Meylan,{},{},"{('e', 'é'): 1}"
per,Auros,pér,Bordeaux,{},{},"{('e', 'é'): 1}",per,Sainte-Foy-la-Grande-bis,{},{},{},pér,Brannens,{},{},"{('e', 'é'): 1}"
pér,Barie,pre,Yvrac,{},{},"{('é', 'r'): 1, ('r', 'e'): 1}",,,,,,,,,,
pér,Brannens,per,Auros,{},{},"{('é', 'e'): 1}",per,Castillon-de-Castets,{},{},"{('é', 'e'): 1}",,,,,
per,Castillon-de-Castets,pér,Saint-Médard-en-Jalles,{},{},"{('e', 'é'): 1}",pér,Boé,{},{},"{('e', 'é'): 1}",pér,Brannens,{},{},"{('e', 'é'): 1}"
père,Coimères,pre,Arès,{},{'è': 1},{},per,Cudos,{},{'e': 1},"{('è', 'e'): 1}",pér,Lados,{},{'e': 1},"{('è', 'é'): 1}"
pér,Lados,pér,Gans,{},{},{},pér,Puybarban,{},{},{},père,Coimères,{'e': 1},{},"{('é', 'è'): 1}"
per,Pondaurat,pré,Blaignan,{},{},"{('e', 'r'): 1, ('r', 'é'): 1}",per,Bescat,{},{},{},,,,,
pér,Puybarban,pér,Lados,{},{},{},pér,Le Bouscat,{},{},{},pér,Savignac,{},{},{}
pér,Savignac,per,Sigalens,{},{},"{('é', 'e'): 1}",pre,Arès,{},{},"{('é', 'r'): 1, ('r', 'e'): 1}",pér,Puybarban,{},{},{}
per,Sigalens,per,Caudéran,{},{},{},pér,Savignac,{},{},"{('e', 'é'): 1}",pre,Bayon-sur-Gironde,{'r': 1},{'r': 1},{}
per,Bazas-bis,pér,Bazas,{},{},"{('e', 'é'): 1}",pér,Andernos-les-Bains,{},{},"{('e', 'é'): 1}",per,Saint-Aubin,{},{},{}
pér,Bazas,per,Cazats,{},{},"{('é', 'e'): 1}",per,Bazas-bis,{},{},"{('é', 'e'): 1}",,,,,
pér,Bernos-Beaulac,pér,Birac,{},{},{},per,Saumos,{},{},"{('é', 'e'): 1}",per,Gajac,{},{},"{('é', 'e'): 1}"
pér,Birac,per,Saint-Magne-de-Castillon,{},{},"{('é', 'e'): 1}",pér,Bernos-Beaulac,{},{},{},per,Cazats,{},{},"{('é', 'e'): 1}"
per,Cazats,per,Cudos,{},{},{},pér,Bazas,{},{},"{('e', 'é'): 1}",pér,Birac,{},{},"{('e', 'é'): 1}"
per,Cudos,père,Coimères,{'e': 1},{},"{('e', 'è'): 1}",per,Cazats,{},{},{},pér,Gans,{},{},"{('e', 'é'): 1}"
per,Gajac,peur,Belvès-de-Castillon,{'u': 1},{},{},pér,Gans,{},{},"{('e', 'é'): 1}",pér,Bernos-Beaulac,{},{},"{('e', 'é'): 1}"
pér,Gans,per,Gajac,{},{},"{('é', 'e'): 1}",pér,Lados,{},{},{},per,Cudos,{},{},"{('é', 'e'): 1}"
per,Le Nizan,per,Prignac-et-Marcamps,{},{},{},pre,Gauriac,{'r': 1},{'r': 1},{},per,Saint-Antoine-sur-l'Isle,{},{},{}
per,Lignan-de-Bazas,pér,Audenge,{},{},"{('e', 'é'): 1}",preu,Lansac,{'r': 1},{},"{('r', 'u'): 1}",per,Béliet,{},{},{}
pér,Saint-Côme,pér,Bonnetan,{},{},{},pre,Saint-Trojan,{},{},"{('é', 'r'): 1, ('r', 'e'): 1}",per,Béliet,{},{},"{('é', 'e'): 1}"
per,Béliet,peur,Belin-Béliet,{'u': 1},{},{},per,Lignan-de-Bazas,{},{},{},pér,Saint-Côme,{},{},"{('e', 'é'): 1}"
peur,Belin-Béliet,preu,Cadillac-en-Fronsadais,{'r': 1},{'r': 1},{},pér,Audenge,{},{'u': 1},"{('e', 'é'): 1}",per,Béliet,{},{'u': 1},{}
peur,Joué,peur,Le Barp,{},{},{},pér,Tabanac,{},{'u': 1},"{('e', 'é'): 1}",,,,,
peur,Le Barp,per,Cabara,{},{'u': 1},{},peur,Joué,{},{},{},,,,,
peur,Lugos,peur,Saint-Magne,{},{},{},peur,Salles-bis,{},{},{},,,,,
peur,Saint-Magne,per,Salles,{},{'u': 1},{},peur,Lugos,{},{},{},pér,Saint-Romain-la-Virvée,{},{'u': 1},"{('e', 'é'): 1}"
peur,Salles-bis,peur,Lugos,{},{},{},pré,Génissac,{},{'r': 1},"{('e', 'r'): 1, ('u', 'é'): 1}",per,Osse-en-Aspe,{},{'u': 1},{}
per,Salles,peur,Saint-Magne,{'u': 1},{},{},pre,Saint-Quentin-de-Baron,{'r': 1},{'r': 1},{},,,,,
