Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
arrè,Andernos-les-Bains,aré,Bazas-bis,{},{'è': 1},"{('r', 'é'): 1}",aré,Auros-bis,{},{'è': 1},"{('r', 'é'): 1}",arré,Audenge-bis,{},{},"{('è', 'é'): 1}"
rei,Arès,arré,Savignac,{'a': 1},{},"{('e', 'r'): 1, ('i', 'é'): 1}",ré,Ailas,{},{'i': 1},"{('e', 'é'): 1}",arré,Coimères,{'a': 1},{},"{('e', 'r'): 1, ('i', 'é'): 1}"
arré,Audenge-bis,arrè,Andernos-les-Bains,{},{},"{('é', 'è'): 1}",ré,Le Porge,{},"{'a': 1, 'r': 1}",{},ré,Saint-Étienne-de-Lisse,{},"{'a': 1, 'r': 1}",{}
arré,Audenge,ré,Saint-Léon-sur-l'Isle,{},"{'a': 1, 'r': 1}",{},ré,Lignan-de-Bazas,{},"{'a': 1, 'r': 1}",{},areu,Belin-Béliet,{},{},"{('r', 'e'): 1, ('é', 'u'): 1}"
ré,Biganos,ré,Lussas,{},{},{},ré,Blanquefort-bis,{},{},{},,,,,
arrè,Lacanau-de-Mios,ré,Eysines,{},"{'a': 1, 'è': 1}","{('r', 'é'): 1}",rè,Carbon-Blanc-bis,{},"{'a': 1, 'r': 1}",{},,,,,
aré,Lanton,ré,Macau,{},{'a': 1},{},ré,Castelnau-de-Médoc,{},{'a': 1},{},ré,Saint-Loubès,{},{'a': 1},{}
ré,Lège,ré,Pompogne,{},{},{},ré,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
arré,Mios,ré,Ailas,{},"{'a': 1, 'r': 1}",{},ré,Saint-Maixant,{},"{'a': 1, 'r': 1}",{},,,,,
ré,Ailas,rei,Arès,{'e': 1},{},"{('é', 'i'): 1}",arré,Mios,"{'a': 1, 'r': 1}",{},{},aré,Auros-bis,{'a': 1},{},{}
aré,Auros-bis,arrè,Andernos-les-Bains,{'r': 1},{},"{('é', 'è'): 1}",ré,Ailas,{},{'a': 1},{},ré,Meylan,{},{'a': 1},{}
aré,Auros,ré,Bordeaux,{},{'a': 1},{},ré,Sainte-Foy-la-Grande-bis,{},{'a': 1},{},arré,Brannens,{'r': 1},{},{}
ré,Barie,ré,Yvrac,{},{},{},ré,Atur,{},{},{},,,,,
arré,Brannens,rè,Bassillac,{},"{'a': 1, 'é': 1}","{('r', 'è'): 1}",aré,Auros,{},{'r': 1},{},rès,Castillon-de-Castets,{},{'a': 1},"{('r', 'è'): 1, ('é', 's'): 1}"
rès,Castillon-de-Castets,rè,Saint-Médard-en-Jalles,{},{'s': 1},{},arré,Boé,{'a': 1},{},"{('è', 'r'): 1, ('s', 'é'): 1}",arré,Brannens,{'a': 1},{},"{('è', 'r'): 1, ('s', 'é'): 1}"
arré,Coimères,rei,Arès,{},{'a': 1},"{('r', 'e'): 1, ('é', 'i'): 1}",arré,Cudos,{},{},{},arés,Lados,{},{},"{('r', 'é'): 1, ('é', 's'): 1}"
arés,Lados,arré,Gans,{'r': 1},{'s': 1},{},ré,Puybarban,{},"{'a': 1, 's': 1}",{},arré,Coimères,{'r': 1},{'s': 1},{}
ré,Pondaurat,ré,Blaignan,{},{},{},arré,Bescat,"{'a': 1, 'r': 1}",{},{},,,,,
ré,Puybarban,arés,Lados,"{'a': 1, 's': 1}",{},{},ré,Le Bouscat,{},{},{},arré,Savignac,"{'a': 1, 'r': 1}",{},{}
arré,Savignac,arré,Sigalens,{},{},{},rei,Arès,{},{'a': 1},"{('r', 'e'): 1, ('é', 'i'): 1}",ré,Puybarban,{},"{'a': 1, 'r': 1}",{}
arré,Sigalens,ré,Caudéran,{},"{'a': 1, 'r': 1}",{},arré,Savignac,{},{},{},ré,Bayon-sur-Gironde,{},"{'a': 1, 'r': 1}",{}
aré,Bazas-bis,arré,Bazas,{'r': 1},{},{},arrè,Andernos-les-Bains,{'r': 1},{},"{('é', 'è'): 1}",rés,Saint-Aubin,{'s': 1},{'a': 1},{}
arré,Bazas,aré,Cazats,{},{'r': 1},{},aré,Bazas-bis,{},{'r': 1},{},ré,Prats-de-Carlux,{},"{'a': 1, 'r': 1}",{}
arré,Bernos-Beaulac,aré,Birac,{},{'r': 1},{},ré,Saumos,{},"{'a': 1, 'r': 1}",{},ré,Gajac,{},"{'a': 1, 'r': 1}",{}
aré,Birac,ré,Saint-Magne-de-Castillon,{},{'a': 1},{},arré,Bernos-Beaulac,{'r': 1},{},{},aré,Cazats,{},{},{}
aré,Cazats,arré,Cudos,{'r': 1},{},{},arré,Bazas,{'r': 1},{},{},aré,Birac,{},{},{}
arré,Cudos,arré,Coimères,{},{},{},aré,Cazats,{},{'r': 1},{},arré,Gans,{},{},{}
ré,Gajac,ré,Belvès-de-Castillon,{},{},{},arré,Gans,"{'a': 1, 'r': 1}",{},{},arré,Bernos-Beaulac,"{'a': 1, 'r': 1}",{},{}
arré,Gans,ré,Gajac,{},"{'a': 1, 'r': 1}",{},arés,Lados,{},{},"{('r', 'é'): 1, ('é', 's'): 1}",arré,Cudos,{},{},{}
arré,Le Nizan,ré,Prignac-et-Marcamps,{},"{'a': 1, 'r': 1}",{},ré,Gauriac,{},"{'a': 1, 'r': 1}",{},rè,Saint-Antoine-sur-l'Isle,{},"{'a': 1, 'é': 1}","{('r', 'è'): 1}"
ré,Lignan-de-Bazas,arré,Audenge,"{'a': 1, 'r': 1}",{},{},rè,Lansac,{},{},"{('é', 'è'): 1}",aré,Béliet,{'a': 1},{},{}
arré,Saint-Côme,ré,Bonnetan,{},"{'a': 1, 'r': 1}",{},ré,Saint-Trojan,{},"{'a': 1, 'r': 1}",{},aré,Béliet,{},{'r': 1},{}
aré,Béliet,areu,Belin-Béliet,{'e': 1},{},"{('é', 'u'): 1}",ré,Lignan-de-Bazas,{},{'a': 1},{},arré,Saint-Côme,{'r': 1},{},{}
areu,Belin-Béliet,ré,Cadillac-en-Fronsadais,{},"{'a': 1, 'u': 1}","{('e', 'é'): 1}",arré,Audenge,{},{},"{('e', 'r'): 1, ('u', 'é'): 1}",aré,Béliet,{},{'u': 1},"{('e', 'é'): 1}"
arreu,Joué,arré,Le Barp,{},{'u': 1},"{('e', 'é'): 1}",arré ,Lansac,{},{},"{('e', 'é'): 1, ('u', ' '): 1}",rès,Tabanac,{},"{'a': 1, 'u': 1}","{('r', 'è'): 1, ('e', 's'): 1}"
arré,Le Barp,ré,Cabara,{},"{'a': 1, 'r': 1}",{},arreu,Joué,{'e': 1},{},"{('é', 'u'): 1}",,,,,
arreu,Lugos,arreu,Saint-Magne,{},{},{},reu,Salles-bis,{},"{'a': 1, 'r': 1}",{},,,,,
arreu,Saint-Magne,are,Salles,{},"{'r': 1, 'u': 1}",{},arreu,Lugos,{},{},{},ré,Saint-Romain-la-Virvée,{},"{'a': 1, 'e': 1, 'u': 1}","{('r', 'é'): 1}"
reu,Salles-bis,arreu,Lugos,"{'a': 1, 'r': 1}",{},{},ré,Génissac,{},{'u': 1},"{('e', 'é'): 1}",arré,Osse-en-Aspe,{'a': 1},{},"{('e', 'r'): 1, ('u', 'é'): 1}"
are,Salles,ré,Saint-Sulpice-de-Mareuil,{},{'a': 1},"{('e', 'é'): 1}",arreu,Saint-Magne,"{'r': 1, 'u': 1}",{},{},ré,Saint-Quentin-de-Baron,{},{'a': 1},"{('e', 'é'): 1}"
ré,Blanquefort-bis,res,Langoiran,{'e': 1},{},"{('é', 's'): 1}",ré,Biganos,{},{},{},ré,Blanquefort,{},{},{}
ré,Blanquefort,ré,Blanquefort-bis,{},{},{},areÿ,Ychoux,"{'a': 1, 'e': 1}",{},"{('é', 'ÿ'): 1}",arrés,La Réole,"{'a': 1, 'r': 1, 's': 1}",{},{}
ré,Caychac,res,Omet,{'e': 1},{},"{('é', 's'): 1}",ré,Eysines,{},{},{},arré,Giscos,"{'a': 1, 'r': 1}",{},{}
ré,Eysines,ré,Caychac,{},{},{},arrè,Lacanau-de-Mios,"{'a': 1, 'r': 1}",{},"{('é', 'è'): 1}",ré,Le Haillan,{},{},{}
ré,Le Haillan,rè,Le Pian-Médoc,{},{},"{('é', 'è'): 1}",arreuii,Bénesse-Maremne,"{'a': 1, 'r': 1, 'e': 1, 'u': 1, 'i': 1}",{},"{('é', 'i'): 1}",ré,Eysines,{},{},{}
rè,Le Pian-Médoc,arrey,Josse,"{'a': 1, 'r': 1, 'e': 1}",{},"{('è', 'y'): 1}",ré,Le Haillan,{},{},"{('è', 'é'): 1}",arreuy,Montgaillard,"{'a': 1, 'r': 1, 'e': 1, 'u': 1}",{},"{('è', 'y'): 1}"
ré,Le Taillan-Médoc,ré,Sainte-Croix-du-Mont,{},{},{},ré,Bassens,{},{},{},ré,Landerrouat,{},{},{}
ré,Ludon-Médoc,ré,Agnac,{},{},{},ré,Macau,{},{},{},,,,,
ré,Macau,ré,Ludon-Médoc,{},{},{},aré,Lanton,{'a': 1},{},{},ré,Lauzun,{},{},{}
ré,Parempuyre,ré,Arcins,{},{},{},rè,Arsac,{},{},"{('é', 'è'): 1}",,,,,
ré,Saint-Aubin-de-Médoc,rés,Feugarolles,{'s': 1},{},{},ré,Béquin,{},{},{},ré,Labarde,{},{},{}
rè,Saint-Médard-en-Jalles,rés,Margaux,{'é': 1},{},"{('è', 's'): 1}",rès,Castillon-de-Castets,{'s': 1},{},{},ré,Moulis-en-Médoc-bis,{},{},"{('è', 'é'): 1}"
rés,Bègles,ré,Castelnaud-de-Gratecambe,{},{'s': 1},{},ré,Lugon-et-l'Île-du-Carnay,{},{'s': 1},{},rê,Moulis-en-Médoc,{},{'s': 1},"{('é', 'ê'): 1}"
ré,Bordeaux,arré ,Camalès,"{'a': 1, 'r': 1, ' ': 1}",{},{},aré,Auros,{'a': 1},{},{},arrés ,Ansost,"{'a': 1, 'r': 1, 's': 1, ' ': 1}",{},{}
rè,Bruges,ré,Bégadan,{},{},"{('è', 'é'): 1}",ré,Caudéran,{},{},"{('è', 'é'): 1}",arré,Ribarrouy,"{'a': 1, 'r': 1}",{},"{('è', 'é'): 1}"
ré,Caudéran,rè,Bruges,{},{},"{('é', 'è'): 1}",arré,Sigalens,"{'a': 1, 'r': 1}",{},{},ré,Bayon-sur-Gironde,{},{},{}
ré,Chartrons,re,Sainte-Colombe,{},{},"{('é', 'e'): 1}",arré,Mont-Disse,"{'a': 1, 'r': 1}",{},{},ré,Salaunes,{},{},{}
ré,Le Bouscat,ré,Puybarban,{},{},{},rés,Castillon-la-Bataille-bis,{'s': 1},{},{},ré,Bayon-sur-Gironde,{},{},{}
ré,Bayon-sur-Gironde,ré,Caudéran,{},{},{},arré,Sigalens,"{'a': 1, 'r': 1}",{},{},ré,Le Bouscat,{},{},{}
ré,Bourg-bis,ré,Castres-Gironde,{},{},{},ré,Castillon-la-Bataille,{},{},{},arré,Bahus-Soubiran,"{'a': 1, 'r': 1}",{},{}
ré,Bourg,ré,Comps,{},{},{},arreu,Rivière-Saas-et-Gourby,"{'a': 1, 'r': 1, 'e': 1}",{},"{('é', 'u'): 1}",rès,Baron,{'è': 1},{},"{('é', 's'): 1}"
ré,Comps,ré,Gauriac,{},{},{},arré,Os-Marsillon,"{'a': 1, 'r': 1}",{},{},ré,Bourg,{},{},{}
ré,Gauriac,arré,Le Nizan,"{'a': 1, 'r': 1}",{},{},ré,Comps,{},{},{},ré,Baurech,{},{},{}
rè,Lansac,ré,Lignan-de-Bazas,{},{},"{('è', 'é'): 1}",rès,Marcamps,{'s': 1},{},{},arré,Saint-Loubouer,"{'a': 1, 'r': 1}",{},"{('è', 'é'): 1}"
rès,Marcamps,ré,Prignac-et-Marcamps,{},{'s': 1},"{('è', 'é'): 1}",rè,Lansac,{},{'s': 1},{},,,,,
ré,Prignac-et-Marcamps,rès,Marcamps,{'è': 1},{},"{('é', 's'): 1}",arré,Le Nizan,"{'a': 1, 'r': 1}",{},{},arré,Renung,"{'a': 1, 'r': 1}",{},{}
ré,Saint-Seurin-de-Bourg,arreuy,Saint-Pandelon,"{'a': 1, 'r': 1, 'e': 1, 'u': 1}",{},"{('é', 'y'): 1}",rei,Samonac,{'e': 1},{},"{('é', 'i'): 1}",rès,Baron,{'è': 1},{},"{('é', 's'): 1}"
ré,Saint-Trojan,arré,Saint-Côme,"{'a': 1, 'r': 1}",{},{},ré,Tauriac,{},{},{},rei,Samonac,{'e': 1},{},"{('é', 'i'): 1}"
rei,Samonac,ré,Saint-Seurin-de-Bourg,{},{'i': 1},"{('e', 'é'): 1}",ré,Fronsac,{},{'i': 1},"{('e', 'é'): 1}",ré,Saint-Trojan,{},{'i': 1},"{('e', 'é'): 1}"
ré,Tauriac,ré,Saint-Trojan,{},{},{},rés,Camarsac,{'s': 1},{},{},rès,Baron,{'è': 1},{},"{('é', 's'): 1}"
rès,Baron,ré,Bourg,{},{'s': 1},"{('è', 'é'): 1}",ré,Saint-Seurin-de-Bourg,{},{'s': 1},"{('è', 'é'): 1}",ré,Tauriac,{},{'s': 1},"{('è', 'é'): 1}"
ré,Branne-bis,arreu,Saint-Lon-les-Mines,"{'a': 1, 'r': 1, 'e': 1}",{},"{('é', 'u'): 1}",arré,Bonnegarde,"{'a': 1, 'r': 1}",{},{},ré,Camblanes-et-Meynac,{},{},{}
ré,Branne,rés,Hure,{'s': 1},{},{},ré,Gironde-sur-Dropt-bis,{},{},{},ré,Carignan-de-Bordeaux,{},{},{}
rés,Cabara-bis,rès,Le Tourne,{},{},"{('é', 'è'): 1}",arreuy,Linxe,"{'a': 1, 'r': 1, 'e': 1}",{},"{('é', 'u'): 1, ('s', 'y'): 1}",arreuy,Dax-Saint-Vincent,"{'a': 1, 'r': 1, 'e': 1}",{},"{('é', 'u'): 1, ('s', 'y'): 1}"
ré,Cabara,rien,Saillans,"{'i': 1, 'e': 1}",{},"{('é', 'n'): 1}",arré,Le Barp,"{'a': 1, 'r': 1}",{},{},ré,Pujols,{},{},{}
réy,Daignac,ré,Génissac,{},{'y': 1},{},arré,Aramits,"{'a': 1, 'r': 1}",{'y': 1},{},,,,,
ré,Génissac,reu,Salles-bis,{'e': 1},{},"{('é', 'u'): 1}",réy,Daignac,{'y': 1},{},{},arré,Losse,"{'a': 1, 'r': 1}",{},{}
rés,Grézillac,rè,Douville,{},{'s': 1},"{('é', 'è'): 1}",arré,Pardies,"{'a': 1, 'r': 1}",{'s': 1},{},rés,Jugazan,{},{},{}
rés,Jugazan,rés,Grézillac,{},{},{},ré,Civrac,{},{'s': 1},{},ré,Gaillan-en-Médoc,{},{'s': 1},{}
ré,Moulon,arré,Horsarrieu,"{'a': 1, 'r': 1}",{},{},arré,Bascons,"{'a': 1, 'r': 1}",{},{},rés,Naujan-et-Postiac,{'s': 1},{},{}
rés,Naujan-et-Postiac,arré,Grignols-bis,"{'a': 1, 'r': 1}",{'s': 1},{},arré,Cazères-sur-l'Adour,"{'a': 1, 'r': 1}",{'s': 1},{},ré,Moulon,{},{'s': 1},{}
ré,Nérigean,arré,Saint-Cricq-Chalosse,"{'a': 1, 'r': 1}",{},{},arré,Poudenx,"{'a': 1, 'r': 1}",{},{},ré,Saint-Germain-du-Puch,{},{},{}
ré,Saint-Germain-du-Puch,arré,Uzeste,"{'a': 1, 'r': 1}",{},{},arré,Laurède,"{'a': 1, 'r': 1}",{},{},ré,Nérigean,{},{},{}
ré,Saint-Quentin-de-Baron,are,Salles,{'a': 1},{},"{('é', 'e'): 1}",arré,Sedzère,"{'a': 1, 'r': 1}",{},{},arreuy,Arengosse,"{'a': 1, 'r': 1, 'e': 1, 'u': 1}",{},"{('é', 'y'): 1}"
rés,Tizac-de-Curton,areuï,Arjuzanx,"{'a': 1, 'e': 1}",{},"{('é', 'u'): 1, ('s', 'ï'): 1}",rè,Champeaux,{},{'s': 1},"{('é', 'è'): 1}",rait,Vieux-Mareuil,{'a': 1},{},"{('é', 'i'): 1, ('s', 't'): 1}"
rés,Béguey,arrey,Précilhon,"{'a': 1, 'r': 1}",{},"{('é', 'e'): 1, ('s', 'y'): 1}",arré,Sendets,"{'a': 1, 'r': 1}",{'s': 1},{},rés,Gabarnac,{},{},{}
res,Cadillac,ré,Cardan,{},{'s': 1},"{('e', 'é'): 1}",ré,Camiran,{},{'s': 1},"{('e', 'é'): 1}",rés,Capian,{},{},"{('e', 'é'): 1}"
rés,Capian,rien,Saint-Michel-de-Fronsac,{'i': 1},{},"{('é', 'e'): 1, ('s', 'n'): 1}",res,Cadillac,{},{},"{('é', 'e'): 1}",arré,Sindères,"{'a': 1, 'r': 1}",{'s': 1},{}
ré,Cardan,arré,Lerm-et-Musset,"{'a': 1, 'r': 1}",{},{},res,Cadillac,{'e': 1},{},"{('é', 's'): 1}",rés,Donzac,{'s': 1},{},{}
rés,Donzac,ré,Saint-Médard-d'Eyrans,{},{'s': 1},{},rés,Gabarnac,{},{},{},ré,Cardan,{},{'s': 1},{}
rés,Gabarnac,rés,Donzac,{},{},{},rés,Béguey,{},{},{},arré,Marions,"{'a': 1, 'r': 1}",{'s': 1},{}
res,Langoiran-bis,rés,Montauban-Est,{},{},"{('e', 'é'): 1}",rès,Villeneuve-de-Marsan,{},{},"{('e', 'è'): 1}",ré,Gironde-sur-Dropt,{},{'s': 1},"{('e', 'é'): 1}"
res,Langoiran,ré,Blanquefort-bis,{},{'s': 1},"{('e', 'é'): 1}",arré,Cescau,{'a': 1},{},"{('e', 'r'): 1, ('s', 'é'): 1}",,,,,
rés,Lestiac-sur-Garonne,arreuy,Solférino,"{'a': 1, 'r': 1, 'e': 1}",{},"{('é', 'u'): 1, ('s', 'y'): 1}",arrés,Morizès,"{'a': 1, 'r': 1}",{},{},arré,Sempesserre,"{'a': 1, 'r': 1}",{'s': 1},{}
rés,Loupiac,arreuÿ,Biaudos,"{'a': 1, 'r': 1, 'e': 1}",{},"{('é', 'u'): 1, ('s', 'ÿ'): 1}",arrè,Gujan,{'a': 1},{},"{('é', 'r'): 1, ('s', 'è'): 1}",arrés,Monprimblanc,"{'a': 1, 'r': 1}",{},{}
arrés,Monprimblanc,arréï,Navarrenx-bis,{},{},"{('s', 'ï'): 1}",ré,Saint-Hilaire-de-la-Noaille,{},"{'a': 1, 'r': 1, 's': 1}",{},rés,Loupiac,{},"{'a': 1, 'r': 1}",{}
res,Omet,res,Paillet,{},{},{},ré,Caychac,{},{'s': 1},"{('e', 'é'): 1}",ré,La Teste-de-Buch,{},{'s': 1},"{('e', 'é'): 1}"
res,Paillet,rés,Rions,{},{},"{('e', 'é'): 1}",res,Omet,{},{},{},arrè,Le Teich,{'a': 1},{},"{('e', 'r'): 1, ('s', 'è'): 1}"
rés,Rions,res,Paillet,{},{},"{('é', 'e'): 1}",,,,,,,,,,
ré,Sainte-Croix-du-Mont,aré,Captieux-bis,{'a': 1},{},{},ré,Le Taillan-Médoc,{},{},{},arré,Mazères,"{'a': 1, 'r': 1}",{},{}
rés,Villenave-de-Rions,ré,Beychac-et-Caillau,{},{'s': 1},{},aré,Captieux-bis,{'a': 1},{'s': 1},{},arrés,Arbanats,"{'a': 1, 'r': 1}",{},{}
aré,Captieux-bis,rés,Villenave-de-Rions,{'s': 1},{'a': 1},{},ré,Sainte-Croix-du-Mont,{},{'a': 1},{},arré,Captieux,{'r': 1},{},{}
arré,Captieux,areu,Léogeats,{},{},"{('r', 'e'): 1, ('é', 'u'): 1}",arré,Langon,{},{},{},aré,Captieux-bis,{},{'r': 1},{}
ré,Escaudes,ré,Bouliac,{},{},{},arré,Cérons,"{'a': 1, 'r': 1}",{},{},arreuy,Montsoué,"{'a': 1, 'r': 1, 'e': 1, 'u': 1}",{},"{('é', 'y'): 1}"
arré,Giscos,arrés,Bieujac,{'s': 1},{},{},ré,Caychac,{},"{'a': 1, 'r': 1}",{},arré,Saint-Pardon-de-Conques,{},{},{}
arré,Saint-Michel-de-Castelnau,ré,Cenon,{},"{'a': 1, 'r': 1}",{},rèss,Saint-Émilion,{},{},"{('a', 'r'): 1, ('r', 'è'): 1, ('r', 's'): 1, ('é', 's'): 1}",arré,Toulenne,{},{},{}
ré,Ambarès-et-Lagrave,ré,La Sauvetat-du-Dropt,{},{},{},arreuy,Taller,"{'a': 1, 'r': 1, 'e': 1, 'u': 1}",{},"{('é', 'y'): 1}",rés,Monbéqui,{'s': 1},{},{}
ré,Ambès,ré,Martignas-sur-Jalle,{},{},{},rés,Fieux,{'s': 1},{},{},ré,Beychac-et-Caillau,{},{},{}
ré,Bassens,ré,Le Taillan-Médoc,{},{},{},ré,Beychac-et-Caillau,{},{},{},rés,Villeneuve-de-Duras,{'s': 1},{},{}
ré,Beychac-et-Caillau,ré,Bassens,{},{},{},rés,Villenave-de-Rions,{'s': 1},{},{},ré,Ambès,{},{},{}
ré,Bouliac,ré,Podensac,{},{},{},ré,Escaudes,{},{},{},rè,Carbon-Blanc-bis,{},{},"{('é', 'è'): 1}"
rè,Carbon-Blanc-bis,ré,Bouliac,{},{},"{('è', 'é'): 1}",arrè,Lacanau-de-Mios,"{'a': 1, 'r': 1}",{},{},ré,Boussès,{},{},"{('è', 'é'): 1}"
rè,Carbon-Blanc,ré,Pessac,{},{},"{('è', 'é'): 1}",ré,Libourne,{},{},"{('è', 'é'): 1}",ré,Lormont,{},{},"{('è', 'é'): 1}"
ré,Cenon,ré,Floirac,{},{},{},arré,Saint-Michel-de-Castelnau,"{'a': 1, 'r': 1}",{},{},ré,Orgueil,{},{},{}
ré,Floirac,ré,Saint-Sulpice-de-Faleyrens,{},{},{},ré,Cenon,{},{},{},ré,Lormont,{},{},{}
ré,Lormont,ré,Houeillès-bis,{},{},{},rè,Carbon-Blanc,{},{},"{('é', 'è'): 1}",ré,Floirac,{},{},{}
ré,Montussan,ré,Saint-Loubès,{},{},{},ré,Cussac-Fort-Médoc,{},{},{},aré,Bruch-bis,{'a': 1},{},{}
ré,Saint-Loubès,aré,Lanton,{'a': 1},{},{},ré,Montussan,{},{},{},ré,Lauzun-tet,{},{},{}
ré,Saint-Louis-de-Montferrand,ré,Virelade,{},{},{},rés,Caumont,{'s': 1},{},{},ré,Saint-Sulpice-et-Cameyrac,{},{},{}
ré,Saint-Sulpice-et-Cameyrac,ré,Saint-Vincent-de-Paul,{},{},{},ré,Lège,{},{},{},ré,Saint-Louis-de-Montferrand,{},{},{}
ré,Saint-Vincent-de-Paul,res,Flaujagues,{'e': 1},{},"{('é', 's'): 1}",ré,Saint-Sulpice-et-Cameyrac,{},{},{},rés,Cordes-Tolosannes,{'s': 1},{},{}
ré,Sainte-Eulalie,ré,Saint-Martin-de-Sescas,{},{},{},ress,Juillac,"{'e': 1, 's': 1}",{},"{('é', 's'): 1}",réen,Laymont,"{'e': 1, 'n': 1}",{},{}
ré,Tresses-bis,arén,Gaujac,"{'a': 1, 'n': 1}",{},{},ré,Peujard,{},{},{},ré,Pessac-sur-Dordogne,{},{},{}
rè,Tresses,rès,Rauzan,{'s': 1},{},{},ré,Saint-Pey-de-Castets,{},{},"{('è', 'é'): 1}",ré,Cubzac-les-Ponts,{},{},"{('è', 'é'): 1}"
ré,Yvrac,ré,Arcins,{},{},{},ré,Barie,{},{},{},rés,Bon-Encontre,{'s': 1},{},{}
ré,Arcins,ré,Parempuyre,{},{},{},ré,Yvrac,{},{},{},ré,Virsac,{},{},{}
ré,Arsac-bis,ré,Cantenac,{},{},{},ré,Saint-Gervais,{},{},{},ré,Lamarque,{},{},{}
rè,Arsac,ré,Castelnau-de-Médoc,{},{},"{('è', 'é'): 1}",ré,Parempuyre,{},{},"{('è', 'é'): 1}",ré,Cantenac,{},{},"{('è', 'é'): 1}"
ré,Cantenac,ré,Salignac,{},{},{},ré,Arsac-bis,{},{},{},rè,Arsac,{},{},"{('é', 'è'): 1}"
ré,Castelnau-de-Médoc,aré,Lanton,{'a': 1},{},{},rè,Arsac,{},{},"{('é', 'è'): 1}",ré,Cussac-Fort-Médoc,{},{},{}
ré,Cussac-Fort-Médoc,ré,Montussan,{},{},{},ré,Castelnau-de-Médoc,{},{},{},ré,Lacanau,{},{},{}
ré,Labarde,ré,Saint-Aubin-de-Médoc,{},{},{},ré,Lacanau,{},{},{},ré,Caudrot,{},{},{}
ré,Lacanau,ré,Labarde,{},{},{},ré,Cussac-Fort-Médoc,{},{},{},ré,Lamarque,{},{},{}
ré,Lamarque,ré,Arsac-bis,{},{},{},rés,Saint-André-du-Bois,{'s': 1},{},{},ré,Lacanau,{},{},{}
ré,Le Porge,arré,Audenge-bis,"{'a': 1, 'r': 1}",{},{},rés,Saint-Germain-de-Grave,{'s': 1},{},{},ré,Le Temple,{},{},{}
ré,Le Temple,arré ,Saint-Élix-d'Astarac,"{'a': 1, 'r': 1, ' ': 1}",{},{},arré,Verdelais,"{'a': 1, 'r': 1}",{},{},ré,Le Porge,{},{},{}
ré,Listrac-Médoc,rés,Villeton,{'s': 1},{},{},ré,Pujols-bis,{},{},{},,,,,
rés,Margaux,arré,Artigues,"{'a': 1, 'r': 1}",{'s': 1},{},rè,Saint-Médard-en-Jalles,{},{'s': 1},"{('é', 'è'): 1}",ré,Saint-Front-sur-Lémance-Bonaguil,{},{'s': 1},{}
ré,Moulis-en-Médoc-bis,rè,Saint-Médard-en-Jalles,{},{},"{('é', 'è'): 1}",rés,Sainte-Foy-la-Grande-ter,{'s': 1},{},{},rés,Estillac,{'s': 1},{},{}
rê,Moulis-en-Médoc,rés,Bègles,{'é': 1},{},"{('ê', 's'): 1}",rés,Gornac,{'é': 1},{},"{('ê', 's'): 1}",,,,,
ré,Sainte-Hélène,arré ,Marsac,"{'a': 1, 'r': 1, ' ': 1}",{},{},ré,Blis-et-Born,{},{},{},arré,Cazalis,"{'a': 1, 'r': 1}",{},{}
ré,Salaunes,ré,Soussans,{},{},{},ré,Chartrons,{},{},{},rés,Castillon-la-Bataille-bis,{'s': 1},{},{}
ré,Saumos,arré,Bernos-Beaulac,"{'a': 1, 'r': 1}",{},{},ré,Soussans,{},{},{},ré,Belvès-de-Castillon,{},{},{}
ré,Soussans,ré,Saumos,{},{},{},rien,Saint-Pey-d'Armens,"{'i': 1, 'e': 1}",{},"{('é', 'n'): 1}",ré,Salaunes,{},{},{}
ré,Belvès-de-Castillon,rés,Castillon-la-Bataille-bis,{'s': 1},{},{},ré,Gajac,{},{},{},ré,Saumos,{},{},{}
rés,Castillon-la-Bataille-bis,ré,Le Bouscat,{},{'s': 1},{},ré,Belvès-de-Castillon,{},{'s': 1},{},ré,Salaunes,{},{'s': 1},{}
ré,Castillon-la-Bataille,ré,Bourg-bis,{},{},{},ré,Puisseguin,{},{},{},arré,Classun,"{'a': 1, 'r': 1}",{},{}
rey,Gardegan,arré,Lucmau,{'a': 1},{},"{('e', 'r'): 1, ('y', 'é'): 1}",ré,Villandraut-bis,{},{'y': 1},"{('e', 'é'): 1}",,,,,
ré,Saint-Étienne-de-Lisse,rés,Paulhiac,{'s': 1},{},{},arré,Audenge-bis,"{'a': 1, 'r': 1}",{},{},ré,Saint-Genès-de-Castillon,{},{},{}
ré,Saint-Genès-de-Castillon,ré,Saint-Étienne-de-Lisse,{},{},{},arreu,Balizac,"{'a': 1, 'r': 1, 'e': 1}",{},"{('é', 'u'): 1}",rien,Saint-Laurent-des-Combes,"{'i': 1, 'e': 1}",{},"{('é', 'n'): 1}"
rien,Saint-Laurent-des-Combes,arré,Saint-Symphorien-bis,{'a': 1},{'n': 1},"{('i', 'r'): 1, ('e', 'é'): 1}",arré,Aire-sur-l'Adour,{'a': 1},{'n': 1},"{('i', 'r'): 1, ('e', 'é'): 1}",ré,Saint-Genès-de-Castillon,{},"{'e': 1, 'n': 1}","{('i', 'é'): 1}"
