Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
caouha,Andernos-les-Bains,caoua,Bazas-bis,{},{'h': 1},{},caoua,Auros-bis,{},{'h': 1},{},caouha,Audenge-bis,{},{},{}
caouha,Arès,caouha,Savignac,{},{},{},caouha,Ailas,{},{},{},caoua,Coimères,{},{'h': 1},{}
caouha,Audenge-bis,caouha,Andernos-les-Bains,{},{},{},caouha,Le Porge,{},{},{},caöufa,Saint-Étienne-de-Lisse,{},{},"{('o', 'ö'): 1, ('h', 'f'): 1}"
caouha,Audenge,chôfa,Saint-Léon-sur-l'Isle,{},{'h': 1},"{('a', 'h'): 1, ('o', 'ô'): 1, ('u', 'f'): 1}",kaouha,Lignan-de-Bazas,{},{},"{('c', 'k'): 1}",caouha,Belin-Béliet,{},{},{}
caouha,Biganos,tsöffè,Lussas,{},{},"{('c', 't'): 1, ('a', 's'): 1, ('o', 'ö'): 1, ('u', 'f'): 1, ('h', 'f'): 1, ('a', 'è'): 1}",caoua,Blanquefort-bis,{},{'h': 1},{},,,,,
caoua,Lacanau-de-Mios,caouha,Eysines,{'h': 1},{},{},caoufa,Carbon-Blanc-bis,{'f': 1},{},{},,,,,
caouha,Lanton,cahoua,Macau,{'h': 1},{'h': 1},{},caoua,Castelnau-de-Médoc,{},{'h': 1},{},caoua,Saint-Loubès,{},{'h': 1},{}
caouha,Lège,caouha,Pompogne,{},{},{},cahoua,Saint-Sulpice-et-Cameyrac,{'h': 1},{'h': 1},{},,,,,
caouha,Mios,caouha,Ailas,{},{},{},caoua,Saint-Maixant,{},{'h': 1},{},,,,,
caouha,Ailas,caouha,Arès,{},{},{},caouha,Mios,{},{},{},caoua,Auros-bis,{},{'h': 1},{}
caoua,Auros-bis,caouha,Andernos-les-Bains,{'h': 1},{},{},caouha,Ailas,{'h': 1},{},{},escaoua,Meylan,"{'e': 1, 's': 1}",{},{}
caoua,Auros,caouha,Bordeaux,{'h': 1},{},{},caoufa,Sainte-Foy-la-Grande-bis,{'f': 1},{},{},caoua,Brannens,{},{},{}
caouha,Barie,cahoua,Yvrac,{'h': 1},{'h': 1},{},chaoufa,Atur,{'h': 1},{},"{('h', 'f'): 1}",,,,,
caoua,Brannens,tsooûffa,Bassillac,"{'o': 1, 'û': 1, 'f': 1}",{},"{('c', 't'): 1, ('a', 's'): 1, ('u', 'f'): 1}",caoua,Auros,{},{},{},caouhà,Castillon-de-Castets,{'h': 1},{},"{('a', 'à'): 1}"
caouhà,Castillon-de-Castets,caoua,Saint-Médard-en-Jalles,{},{'à': 1},"{('h', 'a'): 1}",caoufa,Boé,{},{},"{('h', 'f'): 1, ('à', 'a'): 1}",caoua,Brannens,{},{'à': 1},"{('h', 'a'): 1}"
caoua,Coimères,caouha,Arès,{'h': 1},{},{},caouha,Cudos,{'h': 1},{},{},caouha,Lados,{'h': 1},{},{}
caouha,Lados,caouha,Gans,{},{},{},couha,Puybarban,{},{'a': 1},{},caoua,Coimères,{},{'h': 1},{}
caouha,Pondaurat,cahoua,Blaignan,{'h': 1},{'h': 1},{},caouha,Bescat,{},{},{},,,,,
couha,Puybarban,caouha,Lados,{'a': 1},{},{},caouha,Le Bouscat,{'a': 1},{},{},caouha,Savignac,{'a': 1},{},{}
caouha,Savignac,caouha,Sigalens,{},{},{},caouha,Arès,{},{},{},couha,Puybarban,{},{'a': 1},{}
caouha,Sigalens,couha,Caudéran,{},{'a': 1},{},caouha,Savignac,{},{},{},caoua,Bayon-sur-Gironde,{},{'h': 1},{}
caoua,Bazas-bis,caouha,Bazas,{'h': 1},{},{},caouha,Andernos-les-Bains,{'h': 1},{},{},calfa,Saint-Aubin,{},{},"{('o', 'l'): 1, ('u', 'f'): 1}"
caouha,Bazas,caouha,Cazats,{},{},{},caoua,Bazas-bis,{},{'h': 1},{},colfa,Prats-de-Carlux,{},{'a': 1},"{('u', 'l'): 1, ('h', 'f'): 1}"
caouha,Bernos-Beaulac,caouha,Birac,{},{},{},caouha,Saumos,{},{},{},caoua,Gajac,{},{'h': 1},{}
caouha,Birac,caoufa,Saint-Magne-de-Castillon,{},{},"{('h', 'f'): 1}",caouha,Bernos-Beaulac,{},{},{},caouha,Cazats,{},{},{}
caouha,Cazats,caouha,Cudos,{},{},{},caouha,Bazas,{},{},{},caouha,Birac,{},{},{}
caouha,Cudos,caoua,Coimères,{},{'h': 1},{},caouha,Cazats,{},{},{},caouha,Gans,{},{},{}
caoua,Gajac,cauoufa,Belvès-de-Castillon,"{'u': 1, 'f': 1}",{},{},caouha,Gans,{'h': 1},{},{},caouha,Bernos-Beaulac,{'h': 1},{},{}
caouha,Gans,caoua,Gajac,{},{'h': 1},{},caouha,Lados,{},{},{},caouha,Cudos,{},{},{}
caouha,Le Nizan,caouha,Prignac-et-Marcamps,{},{},{},caouha,Gauriac,{},{},{},chauouffa,Saint-Antoine-sur-l'Isle,"{'h': 1, 'u': 1, 'f': 1}",{},"{('h', 'f'): 1}"
kaouha,Lignan-de-Bazas,caouha,Audenge,{},{},"{('k', 'c'): 1}",caou,Lansac,{},"{'h': 1, 'a': 1}","{('k', 'c'): 1}",caouha,Béliet,{},{},"{('k', 'c'): 1}"
caouha,Saint-Côme,caouha,Bonnetan,{},{},{},cahouat,Saint-Trojan,{'h': 1},{},"{('h', 'a'): 1, ('a', 't'): 1}",caouha,Béliet,{},{},{}
caouha,Béliet,caouha,Belin-Béliet,{},{},{},kaouha,Lignan-de-Bazas,{},{},"{('c', 'k'): 1}",caouha,Saint-Côme,{},{},{}
caouha,Belin-Béliet,caoua,Cadillac-en-Fronsadais,{},{'h': 1},{},caouha,Audenge,{},{},{},caouha,Béliet,{},{},{}
caouha,Joué,caouha,Le Barp,{},{},{},coühas,Lansac,{'s': 1},{'a': 1},"{('u', 'ü'): 1}",caoua,Tabanac,{},{'h': 1},{}
caouha,Le Barp,caoua,Cabara,{},{'h': 1},{},caouha,Joué,{},{},{},,,,,
caouha,Lugos,caouha,Saint-Magne,{},{},{},caouha,Salles-bis,{},{},{},,,,,
caouha,Saint-Magne,caouha,Salles,{},{},{},caouha,Lugos,{},{},{},caouha,Saint-Romain-la-Virvée,{},{},{}
caouha,Salles-bis,caouha,Lugos,{},{},{},coouat,Génissac,{},{},"{('a', 'o'): 1, ('h', 'a'): 1, ('a', 't'): 1}",coucha,Osse-en-Aspe,{'c': 1},{'a': 1},{}
caouha,Salles,tsôfa,Saint-Sulpice-de-Mareuil,{},{'h': 1},"{('c', 't'): 1, ('a', 's'): 1, ('o', 'ô'): 1, ('u', 'f'): 1}",caouha,Saint-Magne,{},{},{},caouha,Saint-Quentin-de-Baron,{},{},{}
caoua,Blanquefort-bis,cauha,Langoiran,{},{},"{('o', 'u'): 1, ('u', 'h'): 1}",caouha,Biganos,{'h': 1},{},{},caoua,Blanquefort,{},{},{}
caoua,Blanquefort,caoua,Blanquefort-bis,{},{},{},caouha,Ychoux,{'h': 1},{},{},caoua,La Réole,{},{},{}
caoua,Caychac,caoüa,Omet,{},{},"{('u', 'ü'): 1}",caouha,Eysines,{'h': 1},{},{},caouha,Giscos,{'h': 1},{},{}
caouha,Eysines,caoua,Caychac,{},{'h': 1},{},caoua,Lacanau-de-Mios,{},{'h': 1},{},caoua,Le Haillan,{},{'h': 1},{}
caoua,Le Haillan,cahoua,Le Pian-Médoc,{'h': 1},{},{},caouha,Bénesse-Maremne,{'h': 1},{},{},caouha,Eysines,{'h': 1},{},{}
cahoua,Le Pian-Médoc,caouha,Josse,{'h': 1},{'h': 1},{},caoua,Le Haillan,{},{'h': 1},{},caouha,Montgaillard,{'h': 1},{'h': 1},{}
caouha,Le Taillan-Médoc,caouha,Sainte-Croix-du-Mont,{},{},{},caouha,Bassens,{},{},{},caoufa,Landerrouat,{},{},"{('h', 'f'): 1}"
caoua,Ludon-Médoc,caoufa,Agnac,{'f': 1},{},{},cahoua,Macau,{'h': 1},{},{},,,,,
cahoua,Macau,caoua,Ludon-Médoc,{},{'h': 1},{},caouha,Lanton,{'h': 1},{'h': 1},{},caoufa,Lauzun,{'f': 1},{'h': 1},{}
caoua,Parempuyre,caouha,Arcins,{'h': 1},{},{},caoua,Arsac,{},{},{},,,,,
caoua,Saint-Aubin-de-Médoc,caouha,Feugarolles,{'h': 1},{},{},caoua,Béquin,{},{},{},caoua,Labarde,{},{},{}
caoua,Saint-Médard-en-Jalles,caoua,Margaux,{},{},{},caouhà,Castillon-de-Castets,{'h': 1},{},"{('a', 'à'): 1}",caouha,Moulis-en-Médoc-bis,{'h': 1},{},{}
caouffa,Bègles,calfa,Castelnaud-de-Gratecambe,{},"{'u': 1, 'f': 1}","{('o', 'l'): 1}",caouffa,Lugon-et-l'Île-du-Carnay,{},{},{},cáoua,Moulis-en-Médoc,{},{'f': 2},"{('a', 'á'): 1}"
caouha,Bordeaux,caoühassé,Camalès,"{'s': 2, 'é': 1}",{},"{('u', 'ü'): 1}",caoua,Auros,{},{'h': 1},{},coucha,Ansost,{'c': 1},{'a': 1},{}
cahoua,Bruges,caoua,Bégadan,{},{'h': 1},{},couha,Caudéran,{'h': 1},"{'a': 1, 'h': 1}",{},caouha,Ribarrouy,{'h': 1},{'h': 1},{}
couha,Caudéran,cahoua,Bruges,"{'a': 1, 'h': 1}",{'h': 1},{},caouha,Sigalens,{'a': 1},{},{},caoua,Bayon-sur-Gironde,{'a': 1},{'h': 1},{}
caoufa,Chartrons,cooufa,Sainte-Colombe,{},{},"{('a', 'o'): 1}",caouha,Mont-Disse,{},{},"{('f', 'h'): 1}",caouha,Salaunes,{},{},"{('f', 'h'): 1}"
caouha,Le Bouscat,couha,Puybarban,{},{'a': 1},{},coueffa,Castillon-la-Bataille-bis,"{'e': 1, 'f': 1}",{'a': 1},"{('h', 'f'): 1}",caoua,Bayon-sur-Gironde,{},{'h': 1},{}
caoua,Bayon-sur-Gironde,couha,Caudéran,{'h': 1},{'a': 1},{},caouha,Sigalens,{'h': 1},{},{},caouha,Le Bouscat,{'h': 1},{},{}
caoucha,Bourg-bis,caouha,Castres-Gironde,{},{'c': 1},{},coufa,Castillon-la-Bataille,{},"{'a': 1, 'h': 1}","{('c', 'f'): 1}",caouha,Bahus-Soubiran,{},{'c': 1},{}
cahoucha,Bourg,cahoua,Comps,{},"{'c': 1, 'h': 1}",{},caouha,Rivière-Saas-et-Gourby,{},"{'h': 1, 'c': 1}",{},caoua,Baron,{},"{'h': 2, 'c': 1}",{}
cahoua,Comps,caouha,Gauriac,{'h': 1},{'h': 1},{},caouha,Os-Marsillon,{'h': 1},{'h': 1},{},cahoucha,Bourg,"{'c': 1, 'h': 1}",{},{}
caouha,Gauriac,caouha,Le Nizan,{},{},{},cahoua,Comps,{'h': 1},{'h': 1},{},caouha,Baurech,{},{},{}
caou,Lansac,kaouha,Lignan-de-Bazas,"{'h': 1, 'a': 1}",{},"{('c', 'k'): 1}",cahouat,Marcamps,"{'h': 1, 'a': 1, 't': 1}",{},{},qaouha,Saint-Loubouer,"{'h': 1, 'a': 1}",{},"{('c', 'q'): 1}"
cahouat,Marcamps,caouha,Prignac-et-Marcamps,{'h': 1},"{'h': 1, 't': 1}",{},caou,Lansac,{},"{'h': 1, 'a': 1, 't': 1}",{},,,,,
caouha,Prignac-et-Marcamps,cahouat,Marcamps,{'h': 1},{},"{('h', 'a'): 1, ('a', 't'): 1}",caouha,Le Nizan,{},{},{},caouha,Renung,{},{},{}
caouha,Saint-Seurin-de-Bourg,caouha,Saint-Pandelon,{},{},{},caoua,Samonac,{},{'h': 1},{},caoua,Baron,{},{'h': 1},{}
cahouat,Saint-Trojan,caouha,Saint-Côme,{'h': 1},"{'h': 1, 't': 1}",{},caoua,Tauriac,{},"{'h': 1, 't': 1}",{},caoua,Samonac,{},"{'h': 1, 't': 1}",{}
caoua,Samonac,caouha,Saint-Seurin-de-Bourg,{'h': 1},{},{},cooufa,Fronsac,{'f': 1},{},"{('a', 'o'): 1}",cahouat,Saint-Trojan,"{'h': 1, 't': 1}",{},{}
caoua,Tauriac,cahouat,Saint-Trojan,"{'h': 1, 't': 1}",{},{},cooua,Camarsac,{},{},"{('a', 'o'): 1}",caoua,Baron,{},{},{}
caoua,Baron,cahoucha,Bourg,"{'h': 2, 'c': 1}",{},{},caouha,Saint-Seurin-de-Bourg,{'h': 1},{},{},caoua,Tauriac,{},{},{}
cooua,Branne-bis,caouha,Saint-Lon-les-Mines,{'h': 1},{},"{('o', 'a'): 1}",caouha,Bonnegarde,{'h': 1},{},"{('o', 'a'): 1}",caoua,Camblanes-et-Meynac,{},{},"{('o', 'a'): 1}"
cooua,Branne,caouffa,Hure,{'f': 2},{},"{('o', 'a'): 1}",caoufa,Gironde-sur-Dropt-bis,{'f': 1},{},"{('o', 'a'): 1}",caoua,Carignan-de-Bordeaux,{},{},"{('o', 'a'): 1}"
caouffa,Cabara-bis,caoua,Le Tourne,{},{'f': 2},{},caouha,Linxe,{},{'f': 1},"{('f', 'h'): 1}",caouha,Dax-Saint-Vincent,{},{'f': 1},"{('f', 'h'): 1}"
caoua,Cabara,cooufa,Saillans,{'f': 1},{},"{('a', 'o'): 1}",caouha,Le Barp,{'h': 1},{},{},caouffa,Pujols,{'f': 2},{},{}
caouha,Daignac,coouat,Génissac,{},{},"{('a', 'o'): 1, ('h', 'a'): 1, ('a', 't'): 1}",caouha,Aramits,{},{},{},,,,,
coouat,Génissac,caouha,Salles-bis,{'h': 1},{'t': 1},"{('o', 'a'): 1}",caouha,Daignac,{'h': 1},{'t': 1},"{('o', 'a'): 1}",caouha,Losse,{'h': 1},{'t': 1},"{('o', 'a'): 1}"
caouha,Grézillac,colfa,Douville,{},{'a': 1},"{('u', 'l'): 1, ('h', 'f'): 1}",caouha,Pardies,{},{},{},caoüha,Jugazan,{},{},"{('u', 'ü'): 1}"
caoüha,Jugazan,caouha,Grézillac,{},{},"{('ü', 'u'): 1}",caouha,Civrac,{},{},"{('ü', 'u'): 1}",caouha,Gaillan-en-Médoc,{},{},"{('ü', 'u'): 1}"
coouha,Moulon,caouhas,Horsarrieu,{'s': 1},{},"{('o', 'a'): 1}",caouha,Bascons,{},{},"{('o', 'a'): 1}",caouha,Naujan-et-Postiac,{},{},"{('o', 'a'): 1}"
caouha,Naujan-et-Postiac,caouha,Grignols-bis,{},{},{},caouha,Cazères-sur-l'Adour,{},{},{},coouha,Moulon,{},{},"{('a', 'o'): 1}"
cohouat,Nérigean,kaouha,Saint-Cricq-Chalosse,{'h': 1},"{'h': 1, 't': 1}","{('c', 'k'): 1, ('o', 'a'): 1}",caouha,Poudenx,{'h': 1},"{'h': 1, 't': 1}","{('o', 'a'): 1}",caoua,Saint-Germain-du-Puch,{},"{'h': 1, 't': 1}","{('o', 'a'): 1}"
caoua,Saint-Germain-du-Puch,caouha,Uzeste,{'h': 1},{},{},caouha,Laurède,{'h': 1},{},{},cohouat,Nérigean,"{'o': 1, 't': 1}",{},"{('a', 'h'): 1}"
caouha,Saint-Quentin-de-Baron,caouha,Salles,{},{},{},caouha,Sedzère,{},{},{},cöouha,Arengosse,{},{},"{('a', 'ö'): 1}"
caouha,Tizac-de-Curton,caoüha,Arjuzanx,{},{},"{('u', 'ü'): 1}",saofa,Champeaux,{},{'h': 1},"{('c', 's'): 1, ('u', 'f'): 1}",tchaufa,Vieux-Mareuil,"{'t': 1, 'h': 1}",{'o': 1},"{('h', 'f'): 1}"
cahoua,Béguey,caouha,Précilhon,{'h': 1},{'h': 1},{},caouha,Sendets,{'h': 1},{'h': 1},{},caoua,Gabarnac,{},{'h': 1},{}
caoua,Cadillac,caoua,Cardan,{},{},{},caoufa,Camiran,{'f': 1},{},{},caoua,Capian,{},{},{}
caoua,Capian,coufa,Saint-Michel-de-Fronsac,{'f': 1},{'a': 1},{},caoua,Cadillac,{},{},{},cahoua,Sindères,{'h': 1},{},{}
caoua,Cardan,caouha,Lerm-et-Musset,{'h': 1},{},{},caoua,Cadillac,{},{},{},caoua,Donzac,{},{},{}
caoua,Donzac,kaoua,Saint-Médard-d'Eyrans,{},{},"{('c', 'k'): 1}",caoua,Gabarnac,{},{},{},caoua,Cardan,{},{},{}
caoua,Gabarnac,caoua,Donzac,{},{},{},cahoua,Béguey,{'h': 1},{},{},caouha,Marions,{'h': 1},{},{}
cooua,Langoiran-bis,calfa,Montauban-Est,{},{},"{('o', 'a'): 1, ('o', 'l'): 1, ('u', 'f'): 1}",caouha,Villeneuve-de-Marsan,{'h': 1},{},"{('o', 'a'): 1}",caoufa,Gironde-sur-Dropt,{'f': 1},{},"{('o', 'a'): 1}"
cauha,Langoiran,caoua,Blanquefort-bis,{'o': 1},{'h': 1},{},caouha,Cescau,{'o': 1},{},{},,,,,
couha,Lestiac-sur-Garonne,caouha,Solférino,{'a': 1},{},{},caouha,Morizès,{'a': 1},{},{},cahoua,Sempesserre,"{'a': 1, 'h': 1}",{'h': 1},{}
caoua,Loupiac,caouha,Biaudos,{'h': 1},{},{},caouha,Gujan,{'h': 1},{},{},caoua,Monprimblanc,{},{},{}
caoua,Monprimblanc,caoüha,Navarrenx-bis,{'ü': 1},{},"{('u', 'h'): 1}",câoua,Saint-Hilaire-de-la-Noaille,{},{},"{('a', 'â'): 1}",caoua,Loupiac,{},{},{}
caoüa,Omet,caoua,Paillet,{},{},"{('ü', 'u'): 1}",caoua,Caychac,{},{},"{('ü', 'u'): 1}",cahoua,La Teste-de-Buch,{'h': 1},{},"{('ü', 'u'): 1}"
caoua,Paillet,caoua,Rions,{},{},{},caoüa,Omet,{},{},"{('u', 'ü'): 1}",caouha,Le Teich,{'h': 1},{},{}
caoua,Rions,caoua,Paillet,{},{},{},,,,,,,,,,
caouha,Sainte-Croix-du-Mont,caouha,Captieux-bis,{},{},{},caouha,Le Taillan-Médoc,{},{},{},couann,Mazères,{'a': 1},{'a': 1},"{('h', 'n'): 1, ('a', 'n'): 1}"
caouha,Villenave-de-Rions,cahoua,Beychac-et-Caillau,{'h': 1},{'h': 1},{},caouha,Captieux-bis,{},{},{},caoüa,Arbanats,{},{'h': 1},"{('u', 'ü'): 1}"
caouha,Captieux-bis,caouha,Villenave-de-Rions,{},{},{},caouha,Sainte-Croix-du-Mont,{},{},{},caouha,Captieux,{},{},{}
caouha,Captieux,caouha,Léogeats,{},{},{},caouha,Langon,{},{},{},caouha,Captieux-bis,{},{},{}
caouha,Escaudes,caoua,Bouliac,{},{'h': 1},{},caoüa,Cérons,{},{'h': 1},"{('u', 'ü'): 1}",caouha,Montsoué,{},{},{}
caouha,Giscos,caoua,Bieujac,{},{'h': 1},{},caoua,Caychac,{},{'h': 1},{},caouha,Saint-Pardon-de-Conques,{},{},{}
caouha,Saint-Michel-de-Castelnau,caouha,Cenon,{},{},{},caoufat,Saint-Émilion,{'t': 1},{},"{('h', 'f'): 1}",caouha,Toulenne,{},{},{}
caoua,Ambarès-et-Lagrave,cäoufa,La Sauvetat-du-Dropt,{'f': 1},{},"{('a', 'ä'): 1}",couha,Taller,{'h': 1},{'a': 1},{},caouha,Monbéqui,{'h': 1},{},{}
caoua,Ambès,caoua,Martignas-sur-Jalle,{},{},{},caouhà,Fieux,{'h': 1},{},"{('a', 'à'): 1}",cahoua,Beychac-et-Caillau,{'h': 1},{},{}
caouha,Bassens,caouha,Le Taillan-Médoc,{},{},{},cahoua,Beychac-et-Caillau,{'h': 1},{'h': 1},{},caoua,Villeneuve-de-Duras,{},{'h': 1},{}
cahoua,Beychac-et-Caillau,caouha,Bassens,{'h': 1},{'h': 1},{},caouha,Villenave-de-Rions,{'h': 1},{'h': 1},{},caoua,Ambès,{},{'h': 1},{}
caoua,Bouliac,caoua,Podensac,{},{},{},caouha,Escaudes,{'h': 1},{},{},caoufa,Carbon-Blanc-bis,{'f': 1},{},{}
caoufa,Carbon-Blanc-bis,caoua,Bouliac,{},{'f': 1},{},caoua,Lacanau-de-Mios,{},{'f': 1},{},caouha,Boussès,{},{},"{('f', 'h'): 1}"
caoufa,Carbon-Blanc,caouha,Pessac,{},{},"{('f', 'h'): 1}",caouffa,Libourne,{'f': 1},{},{},couefa,Lormont,{'e': 1},{'a': 1},{}
caouha,Cenon,caoua,Floirac,{},{'h': 1},{},caouha,Saint-Michel-de-Castelnau,{},{},{},caouha,Orgueil,{},{},{}
caoua,Floirac,caoufa,Saint-Sulpice-de-Faleyrens,{'f': 1},{},{},caouha,Cenon,{'h': 1},{},{},couefa,Lormont,"{'e': 1, 'f': 1}",{'a': 1},{}
couefa,Lormont,caouha,Houeillès-bis,{'a': 1},{'f': 1},"{('e', 'h'): 1}",caoufa,Carbon-Blanc,{'a': 1},{'e': 1},{},caoua,Floirac,{'a': 1},"{'e': 1, 'f': 1}",{}
caoua,Montussan,caoua,Saint-Loubès,{},{},{},caoua,Cussac-Fort-Médoc,{},{},{},caouha,Bruch-bis,{'h': 1},{},{}
caoua,Saint-Loubès,caouha,Lanton,{'h': 1},{},{},caoua,Montussan,{},{},{},caoufa,Lauzun-tet,{'f': 1},{},{}
caoua,Saint-Louis-de-Montferrand,caoua,Virelade,{},{},{},caoua,Caumont,{},{},{},cahoua,Saint-Sulpice-et-Cameyrac,{'h': 1},{},{}
cahoua,Saint-Sulpice-et-Cameyrac,caoua,Saint-Vincent-de-Paul,{},{'h': 1},{},caouha,Lège,{'h': 1},{'h': 1},{},caoua,Saint-Louis-de-Montferrand,{},{'h': 1},{}
caoua,Saint-Vincent-de-Paul,caoufa,Flaujagues,{'f': 1},{},{},cahoua,Saint-Sulpice-et-Cameyrac,{'h': 1},{},{},caoua,Cordes-Tolosannes,{},{},{}
caouha,Sainte-Eulalie,caoua,Saint-Martin-de-Sescas,{},{'h': 1},{},cauoufa,Juillac,{'u': 1},{},"{('h', 'f'): 1}",caouha,Laymont,{},{},{}
cäouha,Tresses-bis,coucha,Gaujac,{'c': 1},{'ä': 1},{},caoua,Peujard,{},{'h': 1},"{('ä', 'a'): 1}",cooufa,Pessac-sur-Dordogne,{},{},"{('ä', 'o'): 1, ('h', 'f'): 1}"
caoua,Tresses,còoua,Rauzan,{},{},"{('a', 'ò'): 1}",caouffa,Saint-Pey-de-Castets,{'f': 2},{},{},caoua,Cubzac-les-Ponts,{},{},{}
cahoua,Yvrac,caouha,Arcins,{'h': 1},{'h': 1},{},caouha,Barie,{'h': 1},{'h': 1},{},caoufa,Bon-Encontre,{'f': 1},{'h': 1},{}
caouha,Arcins,caoua,Parempuyre,{},{'h': 1},{},cahoua,Yvrac,{'h': 1},{'h': 1},{},caoua,Virsac,{},{'h': 1},{}
caoua,Arsac-bis,caoua,Cantenac,{},{},{},caoua,Saint-Gervais,{},{},{},caoua,Lamarque,{},{},{}
caoua,Arsac,caoua,Castelnau-de-Médoc,{},{},{},caoua,Parempuyre,{},{},{},caoua,Cantenac,{},{},{}
caoua,Cantenac,caoua,Salignac,{},{},{},caoua,Arsac-bis,{},{},{},caoua,Arsac,{},{},{}
caoua,Castelnau-de-Médoc,caouha,Lanton,{'h': 1},{},{},caoua,Arsac,{},{},{},caoua,Cussac-Fort-Médoc,{},{},{}
caoua,Cussac-Fort-Médoc,caoua,Montussan,{},{},{},caoua,Castelnau-de-Médoc,{},{},{},cahoua,Lacanau,{'h': 1},{},{}
caoua,Labarde,caoua,Saint-Aubin-de-Médoc,{},{},{},cahoua,Lacanau,{'h': 1},{},{},caoua,Caudrot,{},{},{}
cahoua,Lacanau,caoua,Labarde,{},{'h': 1},{},caoua,Cussac-Fort-Médoc,{},{'h': 1},{},caoua,Lamarque,{},{'h': 1},{}
caoua,Lamarque,caoua,Arsac-bis,{},{},{},caouha,Saint-André-du-Bois,{'h': 1},{},{},cahoua,Lacanau,{'h': 1},{},{}
caouha,Le Porge,caouha,Audenge-bis,{},{},{},caoua,Saint-Germain-de-Grave,{},{'h': 1},{},caoua,Le Temple,{},{'h': 1},{}
caoua,Le Temple,caouha,Saint-Élix-d'Astarac,{'h': 1},{},{},cahoua,Verdelais,{'h': 1},{},{},caouha,Le Porge,{'h': 1},{},{}
caouha,Listrac-Médoc,caoufa,Villeton,{},{},"{('h', 'f'): 1}",caouffa,Pujols-bis,{'f': 1},{},"{('h', 'f'): 1}",,,,,
caoua,Margaux,caoufa,Artigues,{'f': 1},{},{},caoua,Saint-Médard-en-Jalles,{},{},{},cahoua,Saint-Front-sur-Lémance-Bonaguil,{'h': 1},{},{}
caouha,Moulis-en-Médoc-bis,caoua,Saint-Médard-en-Jalles,{},{'h': 1},{},coouffa,Sainte-Foy-la-Grande-ter,{'f': 1},{},"{('a', 'o'): 1, ('h', 'f'): 1}",caouha,Estillac,{},{},{}
cáoua,Moulis-en-Médoc,caouffa,Bègles,{'f': 2},{},"{('á', 'a'): 1}",caoua,Gornac,{},{},"{('á', 'a'): 1}",,,,,
cahoua,Sainte-Hélène,caouhassé,Marsac,"{'h': 1, 's': 2, 'é': 1}",{'h': 1},{},chooufa,Blis-et-Born,"{'o': 1, 'f': 1}",{'a': 1},{},caouha,Cazalis,{'h': 1},{'h': 1},{}
caouha,Salaunes,caoua,Soussans,{},{'h': 1},{},caoufa,Chartrons,{},{},"{('h', 'f'): 1}",coueffa,Castillon-la-Bataille-bis,"{'e': 1, 'f': 1}",{'a': 1},"{('h', 'f'): 1}"
caouha,Saumos,caouha,Bernos-Beaulac,{},{},{},caoua,Soussans,{},{'h': 1},{},cauoufa,Belvès-de-Castillon,{'u': 1},{},"{('h', 'f'): 1}"
caoua,Soussans,caouha,Saumos,{'h': 1},{},{},cooufa,Saint-Pey-d'Armens,{'f': 1},{},"{('a', 'o'): 1}",caouha,Salaunes,{'h': 1},{},{}
cauoufa,Belvès-de-Castillon,coueffa,Castillon-la-Bataille-bis,{},{},"{('a', 'o'): 1, ('o', 'e'): 1, ('u', 'f'): 1}",caoua,Gajac,{},"{'u': 1, 'f': 1}",{},caouha,Saumos,{},{'u': 1},"{('f', 'h'): 1}"
coueffa,Castillon-la-Bataille-bis,caouha,Le Bouscat,{'a': 1},{'f': 2},"{('e', 'h'): 1}",cauoufa,Belvès-de-Castillon,{},{},"{('o', 'a'): 1, ('e', 'o'): 1, ('f', 'u'): 1}",caouha,Salaunes,{'a': 1},{'f': 2},"{('e', 'h'): 1}"
coufa,Castillon-la-Bataille,caoucha,Bourg-bis,"{'a': 1, 'c': 1}",{},"{('f', 'h'): 1}",chauffa,Puisseguin,"{'h': 1, 'f': 1}",{},"{('o', 'a'): 1}",caouha,Classun,{'a': 1},{},"{('f', 'h'): 1}"
quoufa,Gardegan,caouha,Lucmau,{},{},"{('q', 'c'): 1, ('u', 'a'): 1, ('f', 'h'): 1}",caouha,Villandraut-bis,{},{},"{('q', 'c'): 1, ('u', 'a'): 1, ('f', 'h'): 1}",,,,,
caöufa,Saint-Étienne-de-Lisse,calfa,Paulhiac,{},{'u': 1},"{('ö', 'l'): 1}",caouha,Audenge-bis,{},{},"{('ö', 'o'): 1, ('f', 'h'): 1}",caouffa,Saint-Genès-de-Castillon,{'f': 1},{},"{('ö', 'o'): 1}"
caouffa,Saint-Genès-de-Castillon,caöufa,Saint-Étienne-de-Lisse,{},{'f': 1},"{('o', 'ö'): 1}",caouha,Balizac,{},{'f': 1},"{('f', 'h'): 1}",caoufa,Saint-Laurent-des-Combes,{},{'f': 1},{}
caoufa,Saint-Laurent-des-Combes,caouha,Saint-Symphorien-bis,{},{},"{('f', 'h'): 1}",caouha,Aire-sur-l'Adour,{},{},"{('f', 'h'): 1}",caouffa,Saint-Genès-de-Castillon,{'f': 1},{},{}
